instance_id,repo,docker_image
gpac.cve-2023-4682,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-4682:patch
gpac.cve-2023-48014,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-48014:patch
gpac.cve-2021-32438,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2021-32438:patch
gpac.cve-2023-0841,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-0841:patch
gpac.cve-2022-2454,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2022-2454:patch
gpac.cve-2021-40575,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2021-40575:patch
gpac.cve-2023-5998,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-5998:patch
gpac.cve-2022-1795,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2022-1795:patch
imagemagick.cve-2019-13309,imagemagick/imagemagick,hwiwonlee/secb.eval.x86_64.imagemagick.cve-2019-13309:patch
imagemagick.cve-2018-5248,imagemagick/imagemagick,hwiwonlee/secb.eval.x86_64.imagemagick.cve-2018-5248:patch
imagemagick.cve-2021-3962,imagemagick/imagemagick,hwiwonlee/secb.eval.x86_64.imagemagick.cve-2021-3962:patch
imagemagick.cve-2018-5247,imagemagick/imagemagick,hwiwonlee/secb.eval.x86_64.imagemagick.cve-2018-5247:patch
faad2.cve-2018-20198,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20198:patch
faad2.cve-2018-20194,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20194:patch
faad2.cve-2018-20196,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20196:patch
faad2.cve-2018-20195,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20195:patch
faad2.cve-2021-32272,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2021-32272:patch
faad2.cve-2018-20361,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20361:patch
faad2.cve-2018-20357,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20357:patch
faad2.cve-2018-20362,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20362:patch
faad2.cve-2018-20358,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20358:patch
faad2.cve-2018-20359,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20359:patch
faad2.cve-2018-20197,knik0/faad2,hwiwonlee/secb.eval.x86_64.faad2.cve-2018-20197:patch
libarchive.cve-2017-14503,libarchive/libarchive,hwiwonlee/secb.eval.x86_64.libarchive.cve-2017-14503:patch
libarchive.cve-2019-11463,libarchive/libarchive,hwiwonlee/secb.eval.x86_64.libarchive.cve-2019-11463:patch
libredwg.cve-2020-21816,libredwg/libredwg,hwiwonlee/secb.eval.x86_64.libredwg.cve-2020-21816:patch
libredwg.cve-2021-28237,libredwg/libredwg,hwiwonlee/secb.eval.x86_64.libredwg.cve-2021-28237:patch
libredwg.cve-2020-6615,libredwg/libredwg,hwiwonlee/secb.eval.x86_64.libredwg.cve-2020-6615:patch
libredwg.cve-2020-6614,libredwg/libredwg,hwiwonlee/secb.eval.x86_64.libredwg.cve-2020-6614:patch
libredwg.cve-2022-45332,libredwg/libredwg,hwiwonlee/secb.eval.x86_64.libredwg.cve-2022-45332:patch
libredwg.cve-2021-28236,libredwg/libredwg,hwiwonlee/secb.eval.x86_64.libredwg.cve-2021-28236:patch
libredwg.cve-2020-21834,libredwg/libredwg,hwiwonlee/secb.eval.x86_64.libredwg.cve-2020-21834:patch
libsndfile.cve-2018-19432,libsndfile/libsndfile,hwiwonlee/secb.eval.x86_64.libsndfile.cve-2018-19432:patch
mruby.cve-2022-0240,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2022-0240:patch
mruby.cve-2022-1201,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2022-1201:patch
mruby.cve-2022-1427,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2022-1427:patch
mruby.cve-2022-0631,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2022-0631:patch
mruby.cve-2022-1934,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2022-1934:patch
mruby.cve-2022-0614,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2022-0614:patch
mruby.cve-2022-0717,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2022-0717:patch
mruby.cve-2022-0623,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2022-0623:patch
mruby.cve-2018-11743,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2018-11743:patch
mruby.cve-2018-10199,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2018-10199:patch
mruby.cve-2018-12248,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2018-12248:patch
mruby.cve-2018-12247,mruby/mruby,hwiwonlee/secb.eval.x86_64.mruby.cve-2018-12247:patch
libiec61850.cve-2021-45769,mz-automation/libiec61850,hwiwonlee/secb.eval.x86_64.libiec61850.cve-2021-45769:patch
njs.cve-2022-32414,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2022-32414:patch
njs.cve-2022-28049,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2022-28049:patch
njs.cve-2022-38890,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2022-38890:patch
njs.cve-2022-31307,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2022-31307:patch
njs.cve-2021-46462,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2021-46462:patch
njs.cve-2022-29779,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2022-29779:patch
njs.cve-2022-29369,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2022-29369:patch
njs.cve-2022-34029,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2022-34029:patch
njs.cve-2023-27727,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2023-27727:patch
njs.cve-2023-27728,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2023-27728:patch
njs.cve-2022-31306,nginx/njs,hwiwonlee/secb.eval.x86_64.njs.cve-2022-31306:patch
openjpeg.cve-2016-7445,uclouvain/openjpeg,hwiwonlee/secb.eval.x86_64.openjpeg.cve-2016-7445:patch
openjpeg.cve-2024-56827,uclouvain/openjpeg,hwiwonlee/secb.eval.x86_64.openjpeg.cve-2024-56827:patch
wabt.cve-2022-43282,webassembly/wabt,hwiwonlee/secb.eval.x86_64.wabt.cve-2022-43282:patch
